單辭,聲母1,韻母1,聲符1,聲母2,韻母2,聲符2,聲母3,韻母3,聲符3
蝙蝠,b,iān,1,f,ú,2,,,
斑馬,b,ān,1,m,ǎ,3,,,
豹,b,ào,4,,,,,,
蚌,b,àng,4,,,,,,
螃蟹,p,áng,2,x,iè,4,,,
貓,m,āo,1,,,,,,
馬,m,ǎ,3,,,,,,
狒狒,f,èi,4,f,èi,4,,,
鴕鳥,t,uó,2,n,iǎo,3,,,
兔子,t,ù,4,z,i,0,,,
天鵝,t,iān,1,,é,2,,,
鳥,n,iǎo,3,,,,,,
牛,n,iú,2,n,ǎi,3,,,
泥鰍,n,í,2,q,iū,1,,,
鹿,l,ù,4,,,,,,
老鼠,l,ǎo,3,sh,ǔ,3,,,
龍,l,óng,2,,,,,,
狗,g,ǒu,3,,,,,,
蝸牛,g,uā,1,n,iú,2,,,
恐龍,k,ǒng,3,l,óng,2,,,
虎,h,ǔ,3,,,,,,
猴子,h,óu,2,z,i,0,,,
河馬,h,é,2,m,ǎ,3,,,
狐狸,h,ú,2,l,í,2,,,
雞,j,ī,1,,,,,,
鯨魚,j,īng,1,y,ú,2,,,
企鵝,q,ì,4,,é,2,,,
青蛙,q,īng,1,w,ā,1,,,
象,x,iàng,4,,,,,,
蝦,x,iā,,,,,,,
豬,zh,ū,1,,,,,,
獅子,sh,ī,1,z,i,0,,,
蛇,sh,é,2,,,,,,
刺蝟,c,ì,4,w,uì,4,,,
松鼠,s,ōng,1,sh,ǔ,3,,,
羊,y,áng,2,,,,,,
燕子,y,àn,4,z,i,0,,,
魚,y,ú,2,,,,,,
鴨,y,ā,1,,,,,,
烏賊,w,ū,1,zh,éi,2,,,
烏鴉,w,ū,1,y,ā,1,,,
烏龜,w,ū,1,g,ūi,1,,,
