單辭,聲母1,韻母1,聲符1,聲母2,韻母2,聲符2,聲母3,韻母3,聲符3,,,
葡萄,p,ú,2,t,áo,2,,,,,,
枇杷,p,í,2,p,á,2,,,,,,
蘋果,p,íng,2,g,uǒ,3,,,,,,
芒果,m,áng,2,g,uǒ,3,,,,,,
木瓜,m,ù,4,g,uā,1,,,,,,
鳳梨,f,òng,4,l,í,2,,,,,,
番石榴,f,ān,1,sh,í,2,l,iú,2,,,
桃子,t,áo,2,z,i,0,,,,,,
檸檬,n,íng,2,m,éng,2,,,,,,
荔枝,l,ì,4,zh,ī,1,,,,,,
榴槤,l,iú,2,l,ián,2,,,,,,
柳橙,l,iǔ,3,ch,éng,2,,,,,,
蓮霧,l,ián,2,w,ù,4,,,,,,
梨子,l,í,2,z,i,0,,,,,,
李子,l,ǐ,3,z,i,0,,,,,,
哈密瓜,h,ā,1,m,ì,4,g,uā,1,,,
火龍果,h,uǒ,3,l,óng,2,g,uǒ,3,,,
橘子,j,ǘ,2,z,i,0,,,,,,
奇異果,q,í,2,y,ì,4,g,uǒ,3,,,
香蕉,x,iāng,1,j,iāo,1,,,,,,
西瓜,x,ī,1,g,uā,1,,,,,,
柿子,sh,ì,4,z,i,0,,,,,,
水果,sh,uǐ,3,g,uǒ,3,,,,,,
棗子,z,ǎo,3,z,i,0,,,,,,
草莓,c,ǎo,3,m,éi,2,,,,,,
桑葚,s,āng,,sh,èn,,,,,s-桑葚.jpg,C:\\Users\\Administrator\\Desktop\\蒙特梭利教學法-漢語拼音\\聲音分析卡\\21-s\\s-桑葚.jpg,水果
楊桃,y,áng,2,t,áo,2,,,,,,
櫻桃,y,īng,1,t,áo,2,,,,,,
