單辭,聲母1,韻母1,聲符1,聲母2,韻母2,聲符2,聲母3,韻母3,聲符3
白菜,b,ái,2,c,ài,4,,,
白蘿蔔,b,ái,2,l,uó,2,b,o,0
菠菜,b,ō,1,c,ài,4,,,
馬鈴薯,m,ǎ,3,l,íng,2,sh,ǔ,3
麥,m,ài,4,,,,,,
番薯,f,ān,1,sh,ǔ,3,,,
稻子,d,ào,4,z,i,0,,,
地瓜,d,ì,4,g,uā,1,,,
冬瓜,d,ōng,1,g,uā,1,,,
豆子,d,òu,4,z,i,0,,,
土豆,t,ǔ,3,d,òu,4,,,
甜椒,t,ián,2,j,iāo,1,,,
南瓜,n,án,2,g,uā,1,,,
辣椒,l,à,4,j,iāo,1,,,
苦瓜,k,ǔ,3,g,uā,1,,,
堅果,j,iān,1,g,uǒ,3,,,
薑,j,iāng,1,,,,,,
金針菇,j,īn,1,zh,ēn,1,g,ū,1
韭菜,j,iǔ,3,c,ài,4,,,
青椒,q,īng,1,j,iāo,1,,,
香菇,x,iāng,1,g,ū,1,,,
小黃瓜,x,iǎo,3,h,uáng,2,g,uā,1
竹筍,zh,ú,2,s,ǔn,3,,,
芝麻,zh,ī,1,m,á,2,,,
蔬菜,sh,ū,1,c,ài,4,,,
蔥,c,ōng,1,,,,,,
蒜頭,s,uàn,4,t,óu,2,,,
絲瓜,s,ī,1,g,uā,1,,,
洋蔥,y,áng,2,c,ōng,1,,,
玉米,y,ù,4,m,ǐ,3,,,
豌豆,w,ān,1,d,òu,4,,,
